Team,Player,Mouse,Hz,DPI,Sens,eDPI,Scoped Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
Team RA’AD,Shniider,Razer Deathadder V3 Pro Black,1000,400,0.6,240,1,ZOWIE XL2546K,1280x1024,Artisan FX Hien Soft,Ducky One 2 Mini,
Team RA’AD,phaze,Razer Deathadder V3 Pro Black,4000,800,0.4,320,1.1,ZOWIE XL2546K,1280x960,Artisan Ninja FX Zero Soft,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro Black
Leviatan,kiNgg,Logitech G Pro X Superlight Black,1000,800,0.27,216,1,ASUS TUF VG258QM,1920x1080,Lethal Gaming Gear Saturn,Razer Huntsman V2 TKL,Razer BlackShark V2 Pro Black
Leviatan,C0M,Logitech G Pro X Superlight White,1000,800,0.27,216,0.9,ZOWIE XL2546,1440x1080,Gamesense RUSH,Wooting 60 HE,HyperX Cloud II
Leviatan,aspas,Logitech G Pro X Superlight 2 White,4000,800,0.4,320,1,ZOWIE XL2586X,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,HyperX Cloud Alpha S
Leviatan,Mazino,ZOWIE EC2-CW,1000,1600,0.22,352.00,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero Soft,Razer BlackWidow V3 TKL,HyperX Cloud Flight
Leviatan,tex,Logitech G Pro X Superlight 2 Black,2000,800,0.33,264,1.2,ASUS VG248QE,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,HyperX Cloud II
Case Esports,Yurii,Logitech G Pro X Superlight Black,1000,800,0.3,240,1,ZOWIE XL2566K,1920x1080,,,HyperX Cloud II
Case Esports,Kiles,Logitech G Pro X Superlight Black,1000,800,0.431,344.8,1,ZOWIE XL2540,1280x960,VAXEE PA ZYGEN,Logitech G Pro X Keyboard,Logitech G Pro X Headset
Case Esports,GatsH,Razer Viper Ultimate,1000,400,0.4,160,1,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Razer BlackWidow V3 TKL,HyperX Cloud II
Case Esports,lowel,Logitech G Pro X Superlight Black,1000,400,0.566,226.4,1,ZOWIE XL2566K,1920x1080,Gamesense Radar,Razer Huntsman V2 TKL,Logitech G Pro X Wireless Headset
Edward Gaming,Haodong,Logitech G Pro X Superlight White,1000,400,0.69,276,1,ZOWIE XL2566K,,Artisan Ninja FX Zero Mid Orange,NIZ MINI 84 V6 PRO,
Edward Gaming,nobody,ZOWIE EC2-CW,1000,800,0.278,222.4,1,ZOWIE XL2566K,1280x960,Razer Strider,Wooting 60 HE,Sony INZONE H9
Edward Gaming,CHICHOO,Razer Viper V3 Pro White,4000,1600,0.105,168,1,ZOWIE XL2566K,1280x960,Artisan Ninja FX Zero Mid Orange,Wooting 60 HE,HyperX Cloud II Pink
Edward Gaming,Smoggy,Razer Viper V3 Pro White,2000,800,0.34,272,3,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Mid Orange,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro White
Edward Gaming,ZmjjKK,Razer Viper Mini Signature Edition,4000,800,0.4,320.00,1,ZOWIE XL2566K,1280x960,Artisan Ninja FX Zero Mid Orange,Xtrfy K5 Compact RGB Black,HyperX Cloud III
ZETA DIVISION,TENNN,Logitech G Pro X Superlight Red,1000,800,0.25,200,1,ZOWIE XL2566K,1280x960,VAXEE PA Black,Wooting 60 HE,Logitech G Pro X Headset
ZETA DIVISION,Laz,VAXEE ZYGEN NP-01S Wireless Black,1000,800,0.34,272,0.75,ZOWIE XL2566K,1920x1080,Artisan Raiden FX XSoft,ZENAIM Keyboard,Logitech G Pro X Wireless Headset
ZETA DIVISION,Dep,Razer Viper V2 Pro Black,1000,800,0.19,152,1,ZOWIE XL2566K,1680x1050,Pulsar ES2 Bruce Lee Edition Black,Lamzu Atlantis Pro Keyboard,Logitech G Pro X Headset
ZETA DIVISION,SugarZ3ro,Razer Deathadder V3 Pro Black,1000,800,0.25,200.00,0.9,ZOWIE XL2566K,1280x960,Pulsar ES2 Bruce Lee Edition Black,Wooting 60 HE,Logitech G Pro X Headset
LOUD,Less,VAXEE XE Wireless White,1000,800,0.32,256,1,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro,Razer Huntsman V3 Pro,HyperX Cloud II
LOUD,cauanzin,Logitech G Pro X Superlight Black,1000,800,0.25,200,0.77,ZOWIE XL2566K,1920x1080,VAXEE PB,Wooting two HE,HyperX Cloud II
LOUD,qck,Razer Viper Mini Signature Edition,1000,800,0.16,128.00,1,ZOWIE XL2566K,1280x1024,Yuki Aim Kitsune,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro White
LOUD,tuyz,Razer Viper Mini Signature Edition,8000,800,0.32,256,1,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Gris,Wooting 60 HE,HyperX Cloud II
LOUD,Saadhak,Razer Viper V3 Pro Black,1000,1600,0.23,368,1,ZOWIE XL2566K,1920x1080,WALLHACK SP-004,Razer Huntsman V3 Pro TKL,HyperX Cloud II
DRX,Lothar,Razer Deathadder V3 Pro Black,1000,1600,0.20,320,1,AOC AG251FZ,1920x1080,Logitech G840,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro Black
DRX,fiveK,Razer Viper V2 Pro Black,4000,400,0.485,194,0.76,ZOWIE XL2546K,1440x1080,SteelSeries QcK Heavy,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro Black
DRX,MaKo,Razer DeathAdder V3 Pro Faker Edition,1000,400,0.45,180.00,1,ZOWIE XL2546S,1920x1080,SteelSeries QcK Heavy,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro Black
DRX,Flashback,Razer Viper V2 Pro White,1000,400,0.36,144.00,1,,,X-raypad Aqua Control Pro Mid,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
DRX,Foxy9,Finalmouse Ultralight X Medium,1000,800,0.314,251.20,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,Razer BlackShark V2 Pro Black
DRX,stax,Razer DeathAdder V3 Pro Faker Edition,4000,400,0.42,168.00,0.9,ZOWIE XL2546S,1920x1080,VAXEE PA Black,Razer Huntsman V3 Pro Mini,Razer BlackShark V2 Pro Black
DRX,BuZz,Razer Viper V3 Pro White,1000,400,0.54,216.00,1.0,ZOWIE XL2546K,1280x960,Xraypad Aqua Control II White,Wooting 60 HE,Razer BlackShark V2 Pro Black
Gentle Mates,Wailers,Razer DeathAdder V3,1000,1600,0.125,200,1,ZOWIE XL2546K,1920x1080,Artisan Ninja FX Zero XSoft,Razer Huntsman V3 Pro,Razer BlackShark V2 Pro Black
Gentle Mates,nataNk,Razer Deathadder V3 Pro Black,1000,1600,0.2,320.00,1.2,Alienware AW2521H,1280x960,VAXEE PA O22,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro Black
Gentle Mates,beyAz,Razer Deathadder V3 Pro Black,1000,1600,0.122,195.20,0.9,ZOWIE XL2566K,1280x960,Lethal Gaming Gear Saturn Pro,Razer Huntsman V3 Pro,Razer BlackShark V2 Pro Black
Gentle Mates,LOGAN,Razer Deathadder V3 Pro Black,1000,800,0.175,140,1,ZOWIE XL2546K,,SteelSeries QcK Heavy,Razer Huntsman V3 Pro,Razer BlackShark V2 Pro Black
Gentle Mates,TakaS,Razer Viper V3 Pro Black,1000,400,0.48,192,1,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Gris,Razer Huntsman V3 Pro TKL,Razer BlackShark V2 Pro Black
NORTHEPTION,Esperanza,Logitech G Pro X Superlight Black,1000,800,0.320,256,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,HyperX Alloy FPS,HyperX Cloud II
DetonatioN FocusMe,takej,ZOWIE EC2-CW,1000,1600,0.15,240,0.85,ZOWIE XL2546S,1280x960,SteelSeries QcK Heavy,Logitech G713,Logitech G Pro X Headset
DetonatioN FocusMe,neth,Fnatic x Lamzu Thorn,4000,1600,0.16,256,1.0,ZOWIE XL2546,1920x1080,InfinityMice Shogun,Wooting 60 HE,
DetonatioN FocusMe,Meiy,Fnatic x Lamzu Thorn,4000,800,0.285,228.00,1,ZOWIE XL2546K,1920x1080,Artisan Hayate Otsu Soft,Wooting 60 HE,
IGZIST,allow,Logitech G Pro X Superlight White,1000,800,0.234,187,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,Logitech G Pro X Keyboard,Logitech G Pro X Headset
Evil Geniuses,jawgemo,Finalmouse Ultralight X Medium,2000,1600,0.215,344.00,1,Alienware AW2521HF,1920x1080,4114 Fragment Aero,Wooting 60 HE,beyerdynamic DT 990 Pro
Evil Geniuses,NaturE,WLMouse BEAST X Silver,1000,800,0.508,406.4,0.68,ASUS ROG SWIFT PG259QN,1920x1080,HyperX Fury S Pro,Logitech G915 TKL Carbon,
Evil Geniuses,derrek,Logitech G Pro X Superlight 2 Black,2000,800,0.34,272.00,0.9,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Rouge,Higround Basecamp 65,HyperX Cloud II
Evil Geniuses,Apoth,Logitech G Pro X Superlight Black,,800,0.3,240,,,1920x1080,ZOWIE G-SR-SE Rouge,Corsair K95 RGB PLATINUM,HyperX Cloud Alpha
Evil Geniuses,supamen,WLMouse BEAST X Mini Black,2000,800,0.284,227.2,0.85,ZOWIE XL2540,1920x1080,Kurosun Samurai (Unreleased),Corsair K65 TKL,HyperX Cloud II
Bleed eSports,Zest,Razer Viper V3 Hyperspeed,1000,400,0.56,224,1,ZOWIE XL2546K,1920x1080,ZOWIE G-SR,Wooting 60 HE,Razer BlackShark V2 Pro Black
Bleed eSports,sScary,Pulsar Xlite V3 Es,1000,1600,0.18,288,1.1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero XSoft,Logitech G Pro X Keyboard,HyperX Cloud III
Bleed eSports,crazyguy,VAXEE OUTSET AX Wireless Orange,4000,800,0.29,232.00,1,ZOWIE XL2566K,1920x1080,Lethal Gaming Gear Saturn Pro,,HyperX Cloud II Wireless
Bleed eSports,yay,Logitech G Pro X Superlight 2 Black,1000,800,0.27,216,1,ZOWIE XL2566K,1920x1080,Kurosun Samurai (Unreleased),Wooting 60 HE,HyperX Cloud II
Bleed eSports,Deryeon,Pulsar X2 V2,1000,1600,0.13,208,1.15,ZOWIE XL2546K,1920x1080,Kurosun Samurai (Unreleased),Wooting 60 HE,HyperX Cloud II
BBL Esports,pAura,Logitech G Pro X Superlight Black,1000,400,0.6,240,1,ZOWIE XL2546,1920x1080,SteelSeries QcK+,HyperX Alloy FPS Pro,HyperX Cloud II
BBL Esports,Elite,,1000,800,0.32,256,,ZOWIE XL2546,1920x1080,,,HyperX Cloud II
BBL Esports,QutionerX,Logitech G Pro X Superlight Red,1000,800,0.214,171.2,,ZOWIE XL2546,1280x960,Corsair MM350 Champion Series,HyperX Alloy Elite,HyperX Cloud II
BBL Esports,reazy,Xtrfy M4 Wireless White,,800,0.22,176,,ZOWIE XL2566K,1920x1080,,,HyperX Cloud II
BBL Esports,Brave,Endgame Gear XM2we,1000,400,0.85,340,1,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Rouge,Logitech G Pro X Keyboard,Logitech G Pro X Headset
T1,Rossy,Razer DeathAdder V3 Pro Faker Edition,1000,1600,0.154,246.4,1,ASUS TUF VG279QM,1280x1024,Artisan Ninja FX Zero XSoft,Custom Keyboard,Logitech G Pro X Headset
T1,xccurate,Logitech G Pro X Superlight 2 Black,2000,400,0.59,236,1,ZOWIE XL2546,1280x960,Zowie G-SR II,Logitech G Pro X Keyboard,Logitech G PRO X 2 Headset White
T1,iZu,Razer Viper V3 Pro Black,4000,1600,0.2,320,,,1280x960,,Wooting 60 HE,
T1,Carpe,VGN Dragonfly F1 Pro,4000,900,0.234,210.6,1,Lenovo Legion Y25-25,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Sennheiser GAME ZERO
T1,Sayaplayer,Endgame Gear OP1 8k Black,1000,1000,0.339,339,0.9,ZOWIE XL2546K,1920x1080,ZOWIE G-SR-SE Rouge,Wooting 60 HE,HyperX Cloud II Wireless
Team Heretics,Boo,Razer Viper V2 Pro Black,1000,400,0.75,300,1,ZOWIE XL2546,1280x960,Steelseries QcK Prism Cloth 3XL,Corsair K65 RGB MINI 60%,HyperX Cloud II Wireless
Team Heretics,paTiTek,Logitech G Pro X Superlight Black,1000,400,0.82,328,1,AOC AG251FZ2E,1920x1080,Logitech G640 Original,Logitech G Pro X Keyboard,Logitech G Pro X Headset
Team Heretics,MiniBoo,Razer Deathadder V3 Pro White,4000,800,0.29,232,1.05,ZOWIE XL2540,1600x900,Logitech G840,Logitech G Pro X TKL Keyboard Magenta,Logitech G PRO X 2 Headset White
Team Heretics,RieNs,Logitech G Pro X Superlight 2 White,1000,800,0.27,216,,,1920x1080,Artisan Hayate Otsu XSoft,Wooting 60 HE,
Team Heretics,benjyfishy,Logitech G Pro X Superlight Black,1000,800,0.283,226.4,1,HP OMEN 24.5″,1280x960,,Wooting 60 HE,beyerdynamic DT 700 PRO X
Team Heretics,SirMaza,VAXEE XE Wireless Yellow,1000,400,0.5,200,1,ZOWIE XL2566K,1920x1080,ZOWIE G-SR,SteelSeries Apex Pro TKL (2023),JBL Quantum One
NRG,Victor,Logitech G Pro X Superlight Black,1000,800,0.275,220,1,ZOWIE XL2566K,1920x1080,Artisan Ninja FX Zero Soft,Wooting 60 HE,Razer BlackShark V2
NRG,ethos,Logitech G Pro X Superlight 2 White,2000,1600,0.137,219.2,0.69,ZOWIE XL2546,1920x1080,VAXEE PA ZYGEN,Wooting 60 HE,HyperX Cloud II
NRG,crashies,Logitech G Pro X Superlight 2 Black,1000,800,0.23,184,0.875,ZOWIE XL2546,1920x1080,Artisan Ninja FX Zero XSoft,Wooting 60 HE,Sennheiser GAME ZERO
NRG,Ethan,ZOWIE EC3-CW,1000,400,0.68,272,0.81,ZOWIE XL2540,1440x1080,Lethal Gaming Gear Saturn,ASUS ROG Falchion RX Low Profile,HyperX Cloud II
NRG,Marved,Razer Deathadder V3 Pro White,1000,800,0.306,244.8,1,ZOWIE XL2566K,1920x1080,Artisan Hayate Otsu Soft,Wooting 60 HE,Razer BlackShark V2
NRG,Demon1,G-Wolves Hati S+ 4K,4000,1600,0.1,160,1,ZOWIE XL2566K,1920x1080,ZOWIE G-SR-SE Rouge,Wooting 60 HE,HyperX Cloud II
TSM,aproto,Razer Deathadder V3 Pro White,1000,800,0.31,248.00,1,ZOWIE XL2546K,1920x1080,SWIPE SP-FROST,Razer BlackWidow V3 TKL,HyperX Cloud II
TSM,gMd,Logitech G Pro X Superlight Black,1000,800,0.45,360,0.85,ZOWIE XL2540,1920x1080,Logitech G640 Original,Logitech G Pro Keyboard,Logitech G Pro Headset
TSM,seven,Logitech G Pro X Superlight Black,1000,1600,0.25,400,1,Lenovo Legion Y25-25,1920x1080,Logitech G640 Original,,Logitech G Pro X Headset
FunPlus Phoenix,Autumn,Logitech G Pro X Superlight 2 Black,1000,1600,0.12,192.00,,,1920x1080,VAXEE PA ZYGEN,Wooting 60 HE,
Gen.G,Munchkin,Razer Viper V3 Hyperspeed,1000,800,0.35,280,1,ZOWIE XL2546K,1440x1080,X-raypad Aqua Control+,Razer Huntsman V3 Pro TKL,Sennheiser GAME ONE
Gen.G,t3xture,Logitech G Pro X Superlight Magenta,1000,800,0.45,360,1,ZOWIE XL2546K,1920x1080,SteelSeries QcK Heavy,SteelSeries Apex Pro TKL (2023),SteelSeries Arctis Nova 7 Wireless
Gen.G,Lakia,Razer Viper Mini Signature Edition,1000,800,0.33,266.4,1,ZOWIE XL2546,1920x1080,SteelSeries QcK Heavy,Wooting 60 HE,HyperX Cloud Alpha
